Date,btc_price,ahr999
20231029,34528.5,0.6817
20231030,34483.8,0.6788
20231031,34651.3,0.6842
20231101,35437.5,0.7143
20231102,34940,0.693
20231103,34700.5,0.6823
20231104,35069.6,0.6956
20231105,35025.6,0.6924
20231106,35057.5,0.6921
20231107,35406.5,0.7043
20231108,35633,0.7117
20231109,36719.5,0.7538
20231110,37330.3,0.7771
20231111,37162,0.7683
20231112,37088,0.7635
20231113,36486.2,0.7373
20231114,35560.7,0.699
20231115,37885.6,0.7915
20231116,36176,0.72
20231117,36621.9,0.7361
20231118,36580.9,0.7328
20231119,37375.8,0.7632
20231120,37462.5,0.7649
20231121,35730.2,0.6944
20231122,37413.4,0.7595
20231123,37294.4,0.7528
20231124,37706.3,0.7675
20231125,37766.6,0.768
20231126,37437.9,0.7527
20231127,37234.4,0.7424
20231128,37812.1,0.7635
20231129,37837.1,0.7624
20231130,37716.8,0.7555
20231201,38660.9,0.7916
20231202,39436.6,0.8212
20231203,39979.8,0.8414
20231204,41993,0.9253
20231205,44081.6,1.016
20231206,43772.2,0.9983
20231207,43296,0.9733
20231208,44209.6,1.0113
20231209,43734.4,0.9861
20231210,43810.1,0.986
20231211,41271,0.8721
20231212,41514.9,0.8796
20231213,42874.9,0.9351
20231214,43032.4,0.9389
20231215,41968,0.8902
20231216,42287.4,0.9009
20231217,41398.7,0.8606
20231218,42671.8,0.9113
20231219,42298.2,0.8925
20231220,43711,0.9498
20231221,43896.3,0.9545
20231222,44008.6,0.9558
20231223,43724.2,0.9402
20231224,43008.3,0.9065
20231225,43612,0.9288
20231226,42538.6,0.8805
20231227,43453.8,0.9154
20231228,42605,0.8769
20231229,42090.9,0.8529
20231230,42174.2,0.8533
20231231,42313.9,0.8558
20240101,44230.3,0.9315
20240102,44981.3,0.9599
20240103,42826.7,0.8671
20240104,44170.4,0.919
20240105,44148.9,0.9149
20240106,43956.7,0.9042
20240107,43912.3,0.8997
20240108,46990,1.0269
20240109,46110,0.9857
20240110,46663,1.0063
20240111,46348.7,0.9896
20240112,42781.2,0.8408
20240113,42846.4,0.841
20240114,41733.4,0.7958
20240115,42511.9,0.8235
20240116,43133,0.8454
20240117,42783.3,0.8295
20240118,41326.6,0.772
20240119,41669.4,0.7829
20240120,41687.1,0.7815
20240121,41575.1,0.7753
20240122,39555.2,0.7001
20240123,39880.6,0.7099
20240124,40064.7,0.7147
20240125,39941.5,0.7086
20240126,41806.5,0.7743
20240127,42112.4,0.7835
20240128,42021.3,0.7781
20240129,43290.6,0.8236
20240130,42909.9,0.8069
20240131,42561.8,0.7917
20240201,43090.4,0.8091
20240202,43188.8,0.8105
20240203,42992.1,0.8008
20240204,42570.3,0.783
20240205,42691.6,0.7852
20240206,43071,0.7969
20240207,44328.1,0.8416
20240208,45269.1,0.8749
20240209,47129.9,0.945
20240210,47731.6,0.9659
20240211,48310,0.986
20240212,49929.5,1.0493
20240213,49717.3,1.0365
20240214,51814.1,1.1214
20240215,51907.1,1.121
20240216,52153.5,1.1272
20240217,51686.7,1.1028
20240218,52174.6,1.1193
20240219,51806,1.0992
20240220,52309.2,1.1162
20240221,51893.8,1.0942
20240222,51315,1.0658
20240223,50764.1,1.0391
20240224,51608.5,1.0699
20240225,51757.7,1.0719
20240226,54528.6,1.1849
20240227,57081.9,1.2928
20240228,62482.9,1.5415
20240229,61208,1.4723
20240301,62418.7,1.5237
20240302,62013.9,1.4968
20240303,63159.5,1.5447
20240304,68289.7,1.7954
20240305,63755.9,1.5563
20240306,66116.6,1.6641
20240307,66860.2,1.692
20240308,68195.2,1.7499
20240309,68367,1.7485
20240310,69009.9,1.7711
20240311,72158.9,1.9245
20240312,71512.8,1.8787
20240313,73127.6,1.9524
20240314,71461.1,1.8531
20240315,69536.8,1.7444
20240316,65352.9,1.5325
20240317,68462.8,1.6722
20240318,67637.8,1.6227
20240319,61905.2,1.3519
20240320,67880,1.616
20240321,65526.2,1.4973
20240322,63824.9,1.4126
20240323,64035.1,1.414
20240324,67267.2,1.5513
20240325,69925.1,1.6663
20240326,70048.5,1.6621
20240327,69509,1.6268
20240328,70823.3,1.6785
20240329,69886.4,1.6246
20240330,69627.7,1.603
20240331,71303.3,1.671
20240401,69698.5,1.5873
20240402,65463.8,1.3925
20240403,65938.6,1.4049
20240404,68494,1.5072
20240405,67853.5,1.4709
20240406,68928.1,1.5092
20240407,69359.8,1.5193
20240408,71659,1.612
20240409,69147.1,1.4922
20240410,70707,1.5511
20240411,70060.9,1.5138
20240412,67107.7,1.3809
20240413,63802.5,1.2414
20240414,65555.9,1.3034
20240415,63341.2,1.2103
20240416,63767.7,1.2201
20240417,61233.4,1.1194
20240418,63435.1,1.1952
20240419,63803.8,1.2028
20240420,64917.5,1.2385
20240421,64899.2,1.2312
20240422,66760.6,1.2958
20240423,66364.8,1.2736
20240424,64230.8,1.1868
20240425,64490,1.1902
20240426,63749,1.1569
20240427,63463.3,1.1406
20240428,63075.6,1.1207
20240429,63825.8,1.1413
20240430,60666.1,1.0259
20240501,58296.5,0.9426
20240502,59031.9,0.9618
20240503,62840.2,1.0845
20240504,63940.5,1.1171
20240505,63993.8,1.1132
20240506,63133.5,1.0781
20240507,62281.2,1.0442
20240508,61113.8,1.0008
20240509,63057.3,1.0604
20240510,60787.1,0.9814
20240511,60787.9,0.9776
20240512,61483.5,0.9962
20240513,62901,1.0384
20240514,61556.8,0.9905
20240515,66229,1.1415
20240516,65214.8,1.1022
20240517,66978,1.1575
20240518,66917.8,1.1504
20240519,66237.2,1.1225
20240520,71529,1.303
20240521,70191.2,1.249
20240522,69252.9,1.2104
20240523,67986.4,1.1615
20240524,68597,1.1772
20240525,69336.9,1.1975
20240526,68531.9,1.1648
20240527,69450.5,1.1912
20240528,68470.5,1.1531
20240529,67671,1.1218
20240530,68418.9,1.1421
20240531,67601.7,1.1104
20240601,67798.9,1.1121
20240602,67801,1.1078
20240603,68864.9,1.138
20240604,70628,1.1918
20240605,71162.5,1.2047
20240606,70831.7,1.1884
20240607,69320.2,1.1336
20240608,69344,1.1294
20240609,69683.8,1.1358
20240610,69557.9,1.127
20240611,67303.8,1.051
20240612,68293.6,1.0779
20240613,66804,1.0273
20240614,66038.5,1
20240615,66199.3,1.001
20240616,66648.1,1.0107
20240617,66481.9,1.0018
20240618,65141.7,0.9583
20240619,64939.4,0.949
20240620,64852.1,0.9432
20240621,64126.5,0.9193
20240622,64252.5,0.9202
20240623,63152,0.8864
20240624,60263.4,0.805
20240625,61784.8,0.8439
20240626,60867,0.8168
20240627,61669.3,0.8362
20240628,60439,0.8008
20240629,60982.5,0.8129
20240630,62802.5,0.8596
20240701,62874.4,0.859
20240702,62113.5,0.8359
20240703,60225.9,0.7836
20240704,57030.3,0.7008
20240705,56598.1,0.6886
20240706,58248.3,0.7274
20240707,55844.2,0.6671
20240708,56679.8,0.6856
20240709,58002.1,0.7163
20240710,57685,0.7067
20240711,57315.4,0.696
20240712,57894.4,0.7084
20240713,59192,0.7385
20240714,60783.8,0.7767
20240715,64695.2,0.8771
20240716,65013.1,0.8829
20240717,64062.8,0.8546
20240718,63931,0.8485
20240719,66667.2,0.9198
20240720,67127,0.9297
20240721,68160,0.9553
20240722,67477,0.9334
20240723,65935.4,0.8885
20240724,65344.3,0.87
20240725,65788.4,0.8792
20240726,67896,0.9337
20240727,67821.2,0.9289
20240728,68219.8,0.9371
20240729,66751.2,0.8947
20240730,66154.1,0.8759
20240731,64590,0.8324
20240801,65354.9,0.8495
20240802,61423.1,0.7482
20240803,60666.4,0.7279
20240804,58114,0.6662
20240805,53971.1,0.5733
20240806,55990.4,0.6154
20240807,55098,0.5945
20240808,61707.6,0.7435
20240809,60790.2,0.7193
20240810,60897.8,0.7195
20240811,58660,0.6657
20240812,59315.2,0.6786
20240813,60554,0.7052
20240814,60554,0.7052
20240815,58677.7,0.6604
20240816,57508.5,0.6327
20240817,58854.8,0.661
20240818,59471.8,0.6731
20240819,58388.7,0.6471
20240820,59410,0.6682
20240821,58992.1,0.6571
20240822,61143.9,0.704
20240823,60348.4,0.6839
20240824,64046.6,0.7679
20240825,64126.3,0.7675
20240826,64250.6,0.7683
20240827,62803,0.7321
20240828,59331.1,0.652
20240829,58994.8,0.6433
20240830,59331.9,0.6493
20240831,59090.1,0.6428
20240901,58933.4,0.6382
20240902,57260.1,0.6016
20240903,59109.5,0.64
20240904,57481.9,0.6043
20240905,57967.1,0.6136